Scaffold	Length	GC	Depth	AltAllels
Contig_1_126.794 	 3908.0 	 0.4460081883316274 	 126.794 	 0
Contig_2_219.164 	 1782.0 	 0.46464646464646464 	 219.164 	 6
Contig_3_110.732 	 215481.0 	 0.5813412783493672 	 110.732 	 0
Contig_4_265.076 	 521.0 	 0.5316698656429942 	 265.076 	 0
Contig_5_124.931 	 5017.0 	 0.5893960534183775 	 124.931 	 0
Contig_6_175.185 	 14449.0 	 0.5075783791265831 	 175.185 	 0
Contig_7_128.555 	 283750.0 	 0.5719823788546256 	 128.555 	 0
Contig_8_136.227 	 11536.0 	 0.5411754507628294 	 136.227 	 0
Contig_9_126.402 	 81319.0 	 0.5155006824973254 	 126.402 	 0
Contig_10_110.635 	 110767.0 	 0.5832603573266406 	 110.635 	 9
Contig_11_104.178 	 331521.0 	 0.5892567891626774 	 104.178 	 0
Contig_12_108.784 	 95215.0 	 0.5706873916924854 	 108.784 	 0
Contig_13_234.71 	 1371.0 	 0.4974471188913202 	 234.71 	 0
Contig_14_343.845 	 282.0 	 0.5070921985815603 	 343.845 	 0
Contig_15_122.498 	 6260.0 	 0.49664536741214055 	 122.498 	 0
Contig_16_132.92 	 343236.0 	 0.5814978615296764 	 132.92 	 0
Contig_17_133.957 	 34687.0 	 0.5607864617868366 	 133.957 	 0
Contig_18_85.5837 	 309.0 	 0.6375404530744336 	 85.5837 	 0
Contig_19_114.476 	 135669.0 	 0.5736240408641621 	 114.476 	 0
Contig_20_112.804 	 74508.0 	 0.5627986256509369 	 112.804 	 0
Contig_21_183.189 	 18765.0 	 0.5196376232347455 	 183.189 	 0
Contig_22_279.793 	 444.0 	 0.5653153153153153 	 279.793 	 0
Contig_23_124.109 	 6442.0 	 0.49301459174169515 	 124.109 	 0
Contig_24_165.089 	 37459.0 	 0.4848767986331723 	 165.089 	 2
Contig_25_108.111 	 11178.0 	 0.6035963499731616 	 108.111 	 0
Contig_26_109.073 	 210610.0 	 0.5781776743744361 	 109.073 	 0
Contig_27_116.386 	 111687.0 	 0.5700036709733451 	 116.386 	 0
Contig_28_1020.41 	 2780.0 	 0.5287769784172662 	 1020.41 	 9
Contig_29_116.181 	 5132.0 	 0.45810600155884645 	 116.181 	 0
Contig_30_170.821 	 30915.0 	 0.5665534530163351 	 170.821 	 0
Contig_31_109.425 	 523604.0 	 0.5551447276949756 	 109.425 	 11
Contig_32_123.972 	 38380.0 	 0.49916623241271496 	 123.972 	 0
Contig_33_118.625 	 317135.0 	 0.571409652040929 	 118.625 	 0
Contig_34_123.911 	 182223.0 	 0.5714262195222337 	 123.911 	 0
Contig_35_137.63 	 133736.0 	 0.5627729257641921 	 137.63 	 0
Contig_36_123.035 	 20500.0 	 0.4906829268292683 	 123.035 	 0
Contig_37_135.226 	 1215.0 	 0.5465020576131687 	 135.226 	 0
Contig_38_99.1575 	 5049.0 	 0.5531788472964944 	 99.1575 	 1
Contig_39_129.656 	 4389.0 	 0.5126452494873548 	 129.656 	 0
Contig_40_121.62 	 569147.0 	 0.5830532358072694 	 121.62 	 7
Contig_41_244.101 	 2344.0 	 0.6753412969283277 	 244.101 	 1
Contig_42_119.758 	 220997.0 	 0.5781707443992452 	 119.758 	 0
Contig_43_133.235 	 403.0 	 0.6600496277915633 	 133.235 	 0
Contig_44_130.641 	 26546.0 	 0.5216981842838846 	 130.641 	 0
Contig_45_124.18 	 19575.0 	 0.48204342273307793 	 124.18 	 0
Contig_46_134.651 	 86875.0 	 0.5708201438848921 	 134.651 	 0
Contig_47_751.739 	 406.0 	 0.5295566502463054 	 751.739 	 0
Contig_48_116.831 	 6449.0 	 0.631415723367964 	 116.831 	 6
Contig_49_127.355 	 80366.0 	 0.5575118831346589 	 127.355 	 0
Contig_50_113.834 	 21466.0 	 0.5279045933103512 	 113.834 	 0
Contig_51_128.221 	 121477.0 	 0.5776896037933107 	 128.221 	 4
Contig_52_121.924 	 549.0 	 0.46265938069216755 	 121.924 	 0
Contig_53_179.61 	 6818.0 	 0.5110002933411557 	 179.61 	 24
Contig_54_125.068 	 12500.0 	 0.50888 	 125.068 	 0
Contig_55_123.432 	 40911.0 	 0.5552785314463102 	 123.432 	 0
Contig_56_253.358 	 1008.0 	 0.5099206349206349 	 253.358 	 0
Contig_57_248.383 	 439.0 	 0.49430523917995445 	 248.383 	 0
Contig_58_112.258 	 40301.0 	 0.6184958189623087 	 112.258 	 0
Contig_59_107.007 	 683328.0 	 0.5782084152851925 	 107.007 	 0
Contig_60_296.366 	 562.0 	 0.4893238434163701 	 296.366 	 0
Contig_61_125.014 	 638.0 	 0.46865203761755486 	 125.014 	 0
Contig_62_107.917 	 15583.0 	 0.5760764936148367 	 107.917 	 0
Contig_63_112.963 	 502455.0 	 0.5693325770467007 	 112.963 	 0
Contig_64_242.911 	 1137.0 	 0.5074758135444152 	 242.911 	 0
